step,v2u_rate,v2i_rate,u2i_rate,task_waiting,task_offload,task_computing,task_done,task_failed,avg_running_compute_delay
10,0.0,0.0,0.0,0,0,0,0,0,0.0
20,0.0,0.0,0.0,0,0,0,0,0,0.0
30,0.0,0.0,0.0,0,0,0,0,0,0.0
40,0.0,0.0,0.0,0,0,0,0,0,0.0
50,0.0,0.0,0.0,0,0,1,0,0,0.65
60,0.0,0.0,0.0,0,0,1,1,0,1.2
70,0.0,0.0,0.0,0,0,1,1,0,0.2
80,0.0,0.0,0.0,0,0,0,2,0,0.0
90,0.0,0.0,0.0,0,0,0,5,0,0.0
100,0.0,0.0,0.0,0,0,0,6,0,0.0
110,0.0,0.0,0.0,0,0,2,6,0,1.2
120,0.0,0.0,0.0,0,0,3,6,0,0.35
130,0.0,0.0,0.0,0,0,6,8,0,0.8375
140,0.0,0.0,0.0,1,0,2,11,2,0.4167
150,0.0,0.0,0.0,0,0,1,13,2,0.25
160,0.0,0.0,0.0,0,0,0,14,2,0.0
170,0.0,0.0,0.0,0,0,5,14,2,0.8375
180,0.0,0.0,0.0,0,0,3,16,5,0.8083
190,0.0,0.0,0.0,1,0,1,17,6,0.3
200,0.0,0.0,0.0,0,0,1,18,6,0.8
210,0.0,0.0,0.0,0,0,1,19,6,1.4
220,0.0,0.0,0.0,0,0,2,19,6,0.6
230,0.0,0.0,0.0,0,0,0,21,8,0.0
240,0.0,0.0,0.31,0,0,1,22,8,1.3
250,0.0,0.0,0.3,0,0,1,22,8,0.3
260,0.0,0.0,0.29,0,0,1,23,8,1.3
270,0.0,0.0,0.28,0,0,2,23,8,0.75
280,0.0,0.0,0.27,0,0,1,24,8,0.2
290,0.28,0.0,0.26,0,0,1,26,8,1.2
300,0.27,0.0,0.25,0,0,2,26,9,0.35
310,0.27,0.0,0.24,0,0,2,28,10,0.8
320,0.26,0.0,0.23,1,0,2,30,10,0.85
330,0.25,0.0,0.23,0,0,2,31,10,1.6
340,0.24,0.0,0.22,0,0,4,31,12,1.5
350,0.23,0.0,0.21,0,0,4,32,12,1.0
360,0.23,0.0,0.21,0,0,4,33,14,1.05
370,0.22,0.0,0.2,0,0,3,34,15,0.6667
380,0.22,0.0,0.2,0,0,1,35,16,0.2
390,0.21,0.0,0.19,0,0,3,36,16,0.9667
400,0.21,0.0,0.19,2,0,2,38,16,0.55
410,0.2,0.0,0.18,1,0,2,40,16,0.6
420,0.2,0.0,0.18,0,0,2,40,18,0.75
430,0.19,0.0,0.17,1,0,3,42,18,0.8333
440,0.19,0.0,0.17,0,0,1,45,18,0.5
450,0.18,0.0,0.17,1,0,4,46,19,1.125
460,0.18,0.0,0.16,2,0,4,47,19,0.6667
470,0.17,0.0,0.16,1,0,6,49,22,0.8083
480,0.17,0.0,0.16,2,0,3,53,23,0.4
490,0.17,0.0,0.15,0,0,2,56,24,0.95
500,0.16,0.0,0.15,0,0,1,56,25,0.4
510,0.16,0.0,0.15,0,0,1,57,25,1.2
520,0.16,0.0,0.14,1,0,4,57,25,0.975
530,0.16,0.0,0.14,1,0,4,58,25,0.35
540,0.15,0.0,0.14,0,0,3,61,26,1.0333
550,0.15,0.0,0.14,0,0,4,62,26,0.825
560,0.15,0.0,0.13,1,0,4,64,26,0.65
570,0.14,0.0,0.13,0,0,3,66,27,0.5667
580,0.14,0.0,0.13,0,0,2,68,28,1.15
590,0.14,0.0,0.13,0,0,5,69,30,0.76
600,0.22,0.0,0.12,0,0,0,75,30,0.0
610,0.22,0.0,0.12,0,0,3,75,30,1.3
620,0.22,0.0,0.12,0,0,3,75,31,0.2
630,0.21,0.0,0.12,0,0,4,78,31,1.05
640,0.21,0.0,0.12,0,0,6,79,31,1.125
650,0.21,0.0,0.11,2,0,2,81,33,0.5
660,0.2,0.0,0.11,0,0,3,81,35,0.5667
670,0.2,0.0,0.11,0,0,4,84,35,1.25
680,0.2,0.0,0.11,0,0,5,84,35,0.4
690,0.2,0.0,0.11,0,0,26,88,35,1.1738
700,0.19,0.0,0.11,0,0,2,100,48,0.925
710,0.19,0.0,0.11,1,0,2,100,50,0.35
720,0.19,0.0,0.1,0,0,4,102,50,1.4
730,0.18,0.0,0.1,0,0,26,102,52,1.1143
740,0.18,0.0,0.1,0,0,4,115,64,1.2208
750,0.18,0.0,0.1,0,0,8,115,65,1.3467
760,0.18,0.0,0.1,2,0,5,117,70,1.0875
770,0.17,0.0,0.1,1,0,21,117,76,1.1719
780,0.17,0.0,0.1,0,0,3,126,89,0.85
790,0.17,0.0,0.09,0,0,2,127,89,0.125
800,0.17,0.0,0.09,0,0,2,129,89,1.15
810,0.17,0.0,0.09,2,0,26,129,89,1.2737
820,0.16,0.0,0.09,1,0,3,143,99,0.9833
830,0.16,0.0,0.09,0,0,2,143,106,1.25
840,0.16,0.0,0.09,0,0,3,143,106,0.5
850,0.16,0.0,0.09,1,0,19,146,106,0.9278
860,0.16,0.0,0.09,1,0,3,160,112,1.1722
870,0.15,0.0,0.09,0,0,4,160,113,0.4167
880,0.15,0.0,0.08,0,0,2,164,113,0.7
890,0.18,0.05,0.08,0,0,19,174,113,0.7321
900,0.17,0.05,0.08,1,0,5,186,116,0.46
910,0.17,0.05,0.08,0,0,2,189,118,0.45
920,0.17,0.05,0.08,0,0,3,191,118,0.8333
930,0.21,0.07,0.08,0,0,27,192,118,1.139
940,0.21,0.07,0.08,0,0,5,206,128,0.805
950,0.21,0.07,0.08,0,0,5,208,131,1.3
960,0.21,0.07,0.08,0,0,4,209,133,0.5875
970,0.26,0.09,0.08,1,0,21,211,134,0.9228
980,0.26,0.09,0.08,0,0,3,226,140,1.8833
990,0.26,0.09,0.08,0,0,4,226,141,1.2222
1000,0.25,0.09,0.07,1,0,4,226,145,0.9333
1010,0.27,0.1,0.07,2,0,26,227,147,1.2851
1020,0.27,0.1,0.17,1,0,7,239,157,1.0944
1030,0.27,0.1,0.16,0,0,1,239,165,0.6
1040,0.27,0.1,0.16,0,0,1,240,165,0.25
