step,succ_ratio,avg_speed_car,avg_speed_uav,v2u_rate,v2i_rate,u2i_rate,avg_running_compute_delay,pre_ratio,pre_v2u_rate,pre_v2i_rate,pre_u2i_rate
10,1.0,0.0,20.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,1.0,1.03,15.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,1.0,3.18,19.58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,1.0,4.05,19.64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50,1.0,6.01,19.08,0.0,0.0,0.0,0.65,1.0,0.0,0.0,0.0
60,1.0,5.67,20.58,0.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0
70,1.0,7.69,22.47,0.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0
80,1.0,7.05,16.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
90,1.0,7.84,19.91,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100,1.0,9.67,21.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
110,1.0,11.47,19.82,0.0,0.0,0.0,1.2,1.0,0.0,0.0,0.0
120,1.0,13.35,18.08,0.0,0.0,0.0,0.35,1.0,0.0,0.0,0.0
130,1.0,12.61,19.23,0.0,0.0,0.0,0.8375,1.0,0.0,0.0,0.0
140,0.8462,12.89,22.17,0.0,0.0,0.0,0.4167,1.0,0.0,0.0,0.0
150,0.8667,12.94,17.9,0.0,0.0,0.0,0.25,0.8462,0.0,0.0,0.0
160,0.875,11.98,22.37,0.0,0.0,0.0,0.0,0.8667,0.0,0.0,0.0
170,0.875,11.67,24.07,0.0,0.0,0.0,0.8375,0.875,0.0,0.0,0.0
180,0.7619,11.95,18.99,0.0,0.0,0.0,0.8083,0.875,0.0,0.0,0.0
190,0.7391,12.21,19.76,0.0,0.0,0.0,0.3,0.7619,0.0,0.0,0.0
200,0.75,11.54,24.1,0.0,0.0,0.0,0.8,0.7391,0.0,0.0,0.0
210,0.76,12.24,20.71,0.0,0.0,0.0,1.4,0.75,0.0,0.0,0.0
220,0.76,11.9,23.77,0.0,0.0,0.0,0.6,0.76,0.0,0.0,0.0
230,0.7241,11.37,18.78,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0
240,0.7333,10.63,20.63,0.0,0.0,0.31,1.3,0.7241,0.0,0.0,0.0
250,0.7333,11.01,23.04,0.0,0.0,0.3,0.3,0.7333,0.0,0.0,0.31
260,0.7419,11.58,14.41,0.0,0.0,0.29,1.3,0.7333,0.0,0.0,0.3
270,0.7419,12.12,20.53,0.0,0.0,0.28,0.75,0.7419,0.0,0.0,0.29
280,0.75,11.7,18.46,0.0,0.0,0.27,0.2,0.7419,0.0,0.0,0.28
290,0.7647,11.98,21.11,0.28,0.0,0.26,1.2,0.75,0.0,0.0,0.27
300,0.7429,12.08,22.31,0.27,0.0,0.25,0.35,0.7647,0.28,0.0,0.26
310,0.7368,11.66,21.19,0.27,0.0,0.24,0.8,0.7429,0.27,0.0,0.25
320,0.75,11.53,22.11,0.26,0.0,0.23,0.85,0.7368,0.27,0.0,0.24
330,0.7561,11.18,23.34,0.25,0.0,0.23,1.6,0.75,0.26,0.0,0.23
340,0.7209,11.01,17.25,0.24,0.0,0.22,1.5,0.7561,0.25,0.0,0.23
350,0.7273,11.29,19.22,0.23,0.0,0.21,1.0,0.7209,0.24,0.0,0.22
360,0.7021,11.55,17.0,0.23,0.0,0.21,1.05,0.7273,0.23,0.0,0.21
370,0.6939,11.46,20.44,0.22,0.0,0.2,0.6667,0.7021,0.23,0.0,0.21
380,0.6863,11.31,21.67,0.22,0.0,0.2,0.2,0.6939,0.22,0.0,0.2
390,0.6923,10.94,19.56,0.21,0.0,0.19,0.9667,0.6863,0.22,0.0,0.2
400,0.7037,11.11,17.73,0.21,0.0,0.19,0.55,0.6923,0.21,0.0,0.19
