Update Call #10:
Node ID: UAV_0, Type: uav, Position (x, y, z): (783.8301854477737, 2029.1330255242829, 155.37519280999695), Speed: 10.727840752229715, Angle: 0.22468276832890244, Acceleration: 77.94781954647442
Node ID: UAV_1, Type: uav, Position (x, y, z): (725.4253475361554, 2003.534797261941, 175.41387233035852), Speed: 10.432730197100481, Angle: -0.3944325558238072, Acceleration: 8.111189165736103
Node ID: UAV_2, Type: uav, Position (x, y, z): (2394.313898139462, 1935.2680473604694, 197.04017499212026), Speed: 29.22062560479222, Angle: 1.516918259627335, Acceleration: -35.582554078598925
Node ID: UAV_3, Type: uav, Position (x, y, z): (2119.420651473638, 2168.6895735591015, 109.26898573822365), Speed: 13.699438827948766, Angle: 0.17111694510990325, Acceleration: 134.070135622557
Node ID: UAV_4, Type: uav, Position (x, y, z): (290.1834059249144, 2388.8798206660053, 150.42797556181384), Speed: 12.477903288488633, Angle: 5.868103750940744, Acceleration: 18.975678929687163
Node ID: UAV_5, Type: uav, Position (x, y, z): (2352.9259694238303, 72.01513257477454, 194.3595452996185), Speed: 14.211530197732928, Angle: 3.163375913760356, Acceleration: 121.30875862644733
Node ID: UAV_6, Type: uav, Position (x, y, z): (440.8306359542779, 210.53532525118155, 151.79292000872655), Speed: 26.01493180708362, Angle: 5.784696546239674, Acceleration: -33.308035360379336
Node ID: UAV_7, Type: uav, Position (x, y, z): (370.4264145454715, 1907.2613257018809, 100.601605025754), Speed: 28.739383172891614, Angle: 4.180247131549264, Acceleration: -0.08988849095885598
Node ID: UAV_8, Type: uav, Position (x, y, z): (2116.300414597778, 1220.0791481715999, 172.64873603991919), Speed: 10.455651513373168, Angle: 3.484241084974711, Acceleration: 115.87758233599918
Node ID: UAV_9, Type: uav, Position (x, y, z): (1108.5182868035297, 2138.2519358115997, 180.97611559868855), Speed: 18.512376639336345, Angle: 0.7584354565531947, Acceleration: -70.32438754126905
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #20:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (1748.2538114412955, 932.6878111725847, 0), Speed: 2.0640160493739548, Angle: 161.21433014043194, Acceleration: 2.0212376755636474
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (2318.782535959792, 804.4737799824605, 0), Speed: 0.0, Angle: 164.15442910106592, Acceleration: 0.0
Node ID: UAV_0, Type: uav, Position (x, y, z): (801.0446630064118, 2021.9597143040628, 154.8903629477346), Speed: 24.247153050324833, Angle: -0.3472142223688724, Acceleration: -134.33887576819615
Node ID: UAV_1, Type: uav, Position (x, y, z): (743.960508610672, 1995.8196121815338, 174.68397889305479), Speed: 28.054203012386616, Angle: -0.39443255582380704, Acceleration: -44.342676101617506
Node ID: UAV_2, Type: uav, Position (x, y, z): (2391.7685776996195, 1935.7774066574361, 197.04017499212026), Speed: 22.802823995864482, Angle: 3.6789594242586623, Acceleration: -16.35709273923542
Node ID: UAV_3, Type: uav, Position (x, y, z): (2114.795608321143, 2164.203388609319, 109.26898573822365), Speed: 17.44898525944512, Angle: 5.914971135723487, Acceleration: 114.810658239548
Node ID: UAV_4, Type: uav, Position (x, y, z): (283.5843340688034, 2386.516910994646, 150.42797556181384), Speed: 20.75857567463641, Angle: 5.218286704023437, Acceleration: 80.10200320061962
Node ID: UAV_5, Type: uav, Position (x, y, z): (2352.7937839812107, 69.21044910162182, 194.3595452996185), Speed: 14.156882073816494, Angle: 1.6565909071061857, Acceleration: 140.40141474285554
Node ID: UAV_6, Type: uav, Position (x, y, z): (435.3492672736239, 210.0058862268268, 151.79292000872655), Speed: 21.74251009390287, Angle: 4.638532132070978, Acceleration: -109.02419454556043
Node ID: UAV_7, Type: uav, Position (x, y, z): (366.93396542484084, 1905.164062293676, 100.601605025754), Speed: 10.177941640981576, Angle: 3.839686248046028, Acceleration: 148.04754826835685
Node ID: UAV_8, Type: uav, Position (x, y, z): (2120.94041986622, 1221.3132780789992, 172.64873603991919), Speed: 13.020463477279755, Angle: 3.6944675507793114, Acceleration: 110.06032874617439
Node ID: UAV_9, Type: uav, Position (x, y, z): (1113.8705979641786, 2138.1195640779333, 180.97611559868855), Speed: 16.668167760597328, Angle: 5.783652213763885, Acceleration: 64.39069532897264
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
