Update Call #1810:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (2078.8568174199218, 1572.179057355743, 0), Speed: 1.617054479538196, Angle: 256.03467077095473, Acceleration: 2.051049780250429
Node ID: UAV_0, Type: uav, Position (x, y, z): (605.718163871609, 1202.4717982604238, 162.6583112092713), Speed: 29.958116364798244, Angle: 5.621425673586231, Acceleration: -17.76385995697943
Node ID: UAV_1, Type: uav, Position (x, y, z): (2672.037560733158, 384.0004844651734, 167.01155820883756), Speed: 22.852498524813193, Angle: 5.730883704664807, Acceleration: -25.159370626404396
Node ID: UAV_2, Type: uav, Position (x, y, z): (260.9608681112553, 249.8847600444446, 146.8264603458183), Speed: 14.86408072203295, Angle: 4.581235894284536, Acceleration: 17.871517376823167
Node ID: UAV_3, Type: uav, Position (x, y, z): (291.3222168741088, 416.48071422657813, 187.2322173649428), Speed: 17.525936762731842, Angle: 2.8254691883632828, Acceleration: 0.16706579368932495
Node ID: UAV_4, Type: uav, Position (x, y, z): (739.1468977337554, 1289.4840370144323, 109.44228265530663), Speed: 21.92563398387694, Angle: 2.7674795989041416, Acceleration: -4.06081937980364
Node ID: UAV_5, Type: uav, Position (x, y, z): (207.34669018070312, 2089.5808643887135, 103.21485363232239), Speed: 21.359594575378175, Angle: 1.787110678206012, Acceleration: 20.87460510299927
Node ID: UAV_6, Type: uav, Position (x, y, z): (2159.6913916975063, 40.03922318807558, 175.78262176252798), Speed: 14.745254282608416, Angle: 1.0922701020536654, Acceleration: 117.26541076718068
Node ID: UAV_7, Type: uav, Position (x, y, z): (2154.2902296391, 1200.4130381215912, 133.6328781011246), Speed: 19.737899508058234, Angle: 3.802079926092105, Acceleration: 19.19069569171441
Node ID: UAV_8, Type: uav, Position (x, y, z): (879.5406642963928, 1496.058319599627, 108.90965521663139), Speed: 23.288282263718465, Angle: 4.944190822623927, Acceleration: -112.21107030242187
Node ID: UAV_9, Type: uav, Position (x, y, z): (33.606021491208914, 1068.7372917126509, 161.5345633634378), Speed: 21.531682910943275, Angle: 4.3217139435675405, Acceleration: 41.635188146685636
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #1820:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (2076.2338987985013, 1571.5267758843775, 0), Speed: 3.554253289621107, Angle: 256.03467077095473, Acceleration: 1.5025254832580703
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (1715.8752169706504, 2025.6676857518553, 0), Speed: 1.829044084384877, Angle: 71.32836833725844, Acceleration: 1.7223166675079615
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (973.9779451128894, 2045.9718406596555, 0), Speed: 1.7268797329408614, Angle: 247.48843622528145, Acceleration: 2.4107985503336304
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (1324.1282497251357, 801.4296083347698, 0), Speed: 0.2518924333022442, Angle: 182.47977529029336, Acceleration: 2.518924333022442
Node ID: UAV_0, Type: uav, Position (x, y, z): (597.1099020435217, 1211.459581473683, 162.6583112092713), Speed: 29.70683294105462, Angle: 1.6412224165369225, Acceleration: -92.14554324504633
Node ID: UAV_1, Type: uav, Position (x, y, z): (2673.72437978472, 383.7569045033484, 167.01155820883756), Speed: 20.579766564115012, Angle: 2.2009487434260517, Acceleration: 52.13740509065385
Node ID: UAV_2, Type: uav, Position (x, y, z): (254.8493442875282, 243.56364314409439, 146.8264603458183), Speed: 26.244016747309757, Angle: 2.0915766964466527, Acceleration: -141.03433764922002
Node ID: UAV_3, Type: uav, Position (x, y, z): (284.9375089750184, 419.386896451304, 187.2322173649428), Speed: 18.285295711668454, Angle: 3.3434831097477913, Acceleration: 13.543641410960205
Node ID: UAV_4, Type: uav, Position (x, y, z): (740.3611758171354, 1288.2381480594179, 109.44228265530663), Speed: 23.652961125526346, Angle: 1.6979146111464867, Acceleration: -105.39172144696546
Node ID: UAV_5, Type: uav, Position (x, y, z): (208.3927644378034, 2093.5172318611426, 103.21485363232239), Speed: 29.62014137152518, Angle: 0.6695090099763058, Acceleration: -195.38456202383324
Node ID: UAV_6, Type: uav, Position (x, y, z): (2161.8805704433257, 34.636956029069225, 175.78262176252798), Speed: 29.77417216068114, Angle: 4.582454644172004, Acceleration: -83.20779331680889
Node ID: UAV_7, Type: uav, Position (x, y, z): (2153.384024670628, 1203.5922106519797, 133.6328781011246), Speed: 19.564527259743773, Angle: 0.8999498553914256, Acceleration: 27.340774967325068
Node ID: UAV_8, Type: uav, Position (x, y, z): (876.7619434791549, 1494.3371007279889, 108.90965521663139), Speed: 27.019307843635048, Angle: 4.2667486138799395, Acceleration: 23.468075064182052
Node ID: UAV_9, Type: uav, Position (x, y, z): (34.51384810213163, 1073.7840604327378, 161.5345633634378), Speed: 17.198191968271367, Angle: 4.668289073212591, Acceleration: -60.93496746097493
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #1830:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (2071.881441046951, 1570.4443833453745, 0), Speed: 5.283558592063623, Angle: 256.03467077095473, Acceleration: 1.3163225849857518
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (1718.7076239775597, 2026.6248398379832, 0), Speed: 3.8394030806218145, Angle: 71.32836833725761, Acceleration: 1.5222673442913193
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (971.4422286683267, 2044.9209128880593, 0), Speed: 3.5817495288246874, Angle: 247.48843622528196, Acceleration: 1.568963820626963
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (1324.0623761465308, 799.9085345816308, 0), Speed: 2.5124066871135144, Angle: 182.47977529029336, Acceleration: 1.9745800366365662
Node ID: vehicle_4, Type: vehicle, Position (x, y, z): (2072.5535568746554, 2135.563662019786, 0), Speed: 1.6710569980670122, Angle: 160.73942554682418, Acceleration: 1.9745684518008932
Node ID: vehicle_5, Type: vehicle, Position (x, y, z): (695.8383933533544, 1294.6882871280725, 0), Speed: 1.3, Angle: 315.18013278428634, Acceleration: 2.6
Node ID: vehicle_6, Type: vehicle, Position (x, y, z): (376.4080709874106, 1181.219097380073, 0), Speed: 0.5140137479782799, Angle: 70.13247071119734, Acceleration: 2.5753343687511476
Node ID: vehicle_7, Type: vehicle, Position (x, y, z): (1064.2609598586712, 2087.048080282658, 0), Speed: 0.0, Angle: 153.43494882292202, Acceleration: 0.0
Node ID: UAV_0, Type: uav, Position (x, y, z): (591.9356919789991, 1211.8509430458969, 162.6583112092713), Speed: 15.076088928115874, Angle: 0.36182745379440096, Acceleration: 123.57887707552388
Node ID: UAV_1, Type: uav, Position (x, y, z): (2673.922280101989, 379.65748970463284, 167.01155820883756), Speed: 17.113615132772225, Angle: 1.3396350358470446, Acceleration: -1.7818548794650368
Node ID: UAV_2, Type: uav, Position (x, y, z): (255.30652145433768, 241.53534794080014, 146.8264603458183), Speed: 23.448168621082637, Angle: 4.9627597820977964, Acceleration: -74.63933054685779
Node ID: UAV_3, Type: uav, Position (x, y, z): (285.1464641906163, 413.29096069560086, 187.2322173649428), Speed: 18.010467635628686, Angle: 3.4695202290022777, Acceleration: 97.63560820623432
Node ID: UAV_4, Type: uav, Position (x, y, z): (747.3624539389544, 1297.2217335313276, 109.44228265530663), Speed: 20.942309541458258, Angle: 0.5738047093762946, Acceleration: 64.92985395499576
Node ID: UAV_5, Type: uav, Position (x, y, z): (207.6387274593583, 2098.14009220053, 103.21485363232239), Speed: 22.28498584936061, Angle: 3.9427124125237882, Acceleration: -113.62367393398998
Node ID: UAV_6, Type: uav, Position (x, y, z): (2149.4437280378374, 40.668769877019194, 175.78262176252798), Speed: 25.620526100638585, Angle: 2.562532290120592, Acceleration: -84.66065495916077
Node ID: UAV_7, Type: uav, Position (x, y, z): (2155.343545909759, 1199.3159941537126, 133.6328781011246), Speed: 27.347213793966663, Angle: 1.6145390696381923, Acceleration: -17.43722298279142
Node ID: UAV_8, Type: uav, Position (x, y, z): (875.900263403329, 1484.0816093813344, 108.90965521663139), Speed: 13.100686959779786, Angle: 4.467627167353162, Acceleration: 50.801907788303744
Node ID: UAV_9, Type: uav, Position (x, y, z): (32.80183666647558, 1069.3052367698272, 161.5345633634378), Speed: 12.169226701071773, Angle: 5.499739048650542, Acceleration: 41.362128620236454
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #1840:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (2065.719289929349, 1568.9119465534204, 0), Speed: 7.295564132887651, Angle: 256.03467077095473, Acceleration: 2.4855759251629905
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (1723.3829288177687, 2028.2047635992162, 0), Speed: 5.853435260451477, Angle: 71.32836833725844, Acceleration: 2.52273188098334
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (967.091095396851, 2043.117585547293, 0), Speed: 5.614438138484357, Angle: 247.48843622528145, Acceleration: 2.5157663677120556
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (1323.9062232951378, 796.3028400260565, 0), Speed: 4.524763792595884, Angle: 182.47977529029336, Acceleration: 2.420847001834767
Node ID: vehicle_4, Type: vehicle, Position (x, y, z): (2073.468713200723, 2132.944609817756, 0), Speed: 3.6670745284934627, Angle: 160.73942554682247, Acceleration: 2.375075294729325
Node ID: vehicle_5, Type: vehicle, Position (x, y, z): (693.673229890894, 1294.7089160781957, 0), Speed: 2.985703399035241, Angle: 296.7696999074715, Acceleration: -0.4725531826494267
Node ID: vehicle_6, Type: vehicle, Position (x, y, z): (377.9864111182038, 1181.7894370476995, 0), Speed: 2.5734044086590315, Angle: 70.13247071119734, Acceleration: 1.8519296743674207
Node ID: vehicle_7, Type: vehicle, Position (x, y, z): (1064.8463131624321, 2085.877373675136, 0), Speed: 2.3150457182817754, Angle: 153.43494882292202, Acceleration: 2.391468546706559
Node ID: UAV_0, Type: uav, Position (x, y, z): (588.5940622286896, 1209.457840535002, 162.6583112092713), Speed: 22.170428639466383, Angle: 1.0905137236949098, Acceleration: -56.742149713810726
Node ID: UAV_1, Type: uav, Position (x, y, z): (2665.589140745001, 381.4186355133577, 167.01155820883756), Speed: 14.298344702983464, Angle: 5.851539876006149, Acceleration: -9.010477476288514
Node ID: UAV_2, Type: uav, Position (x, y, z): (254.13447553180598, 238.75546239011692, 146.8264603458183), Speed: 29.4657298523545, Angle: 2.7358317997232917, Acceleration: -16.348901022715623
Node ID: UAV_3, Type: uav, Position (x, y, z): (283.5977012863494, 414.12319131412426, 187.2322173649428), Speed: 26.218088810825442, Angle: 3.9149976432342757, Acceleration: -118.65505050598857
Node ID: UAV_4, Type: uav, Position (x, y, z): (746.9585510575258, 1294.2337555084453, 109.44228265530663), Speed: 29.66111477397794, Angle: 1.9525407786607432, Acceleration: -43.91994241026129
Node ID: UAV_5, Type: uav, Position (x, y, z): (210.99670839266304, 2099.499957499342, 103.21485363232239), Speed: 18.731683527995408, Angle: 5.744704406295218, Acceleration: -12.025401534858204
Node ID: UAV_6, Type: uav, Position (x, y, z): (2138.537376296122, 47.329846152589695, 175.78262176252798), Speed: 26.753711461226573, Angle: 3.488033052599999, Acceleration: -80.93876209099622
Node ID: UAV_7, Type: uav, Position (x, y, z): (2159.9152308831312, 1192.242306954188, 133.6328781011246), Speed: 15.437366712601644, Angle: 5.700486645284207, Acceleration: 135.58761098686864
Node ID: UAV_8, Type: uav, Position (x, y, z): (883.1558852771243, 1495.66743784467, 108.90965521663139), Speed: 29.858896628890342, Angle: 5.996013552713577, Acceleration: -4.467040942211007
Node ID: UAV_9, Type: uav, Position (x, y, z): (33.91797871717012, 1064.088097411751, 161.5345633634378), Speed: 16.31311012533235, Angle: 5.157179827010371, Acceleration: -38.4662874285198
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #1850:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (2057.5555743497807, 1566.8817499752413, 0), Speed: 9.277097585909779, Angle: 256.03467077095473, Acceleration: 1.5930713752051773
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (1730.0645844749251, 2030.4626926322774, 0), Speed: 7.959782016277855, Angle: 71.32836833725761, Acceleration: 2.2615746473427834
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (960.796300193432, 2040.5087074489672, 0), Speed: 7.805696908085472, Angle: 247.48843622528196, Acceleration: 2.052367964945727
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (1323.6628445062854, 790.6830286292187, 0), Speed: 6.466704183487278, Angle: 182.47977529029336, Acceleration: 1.3699656776851032
Node ID: vehicle_4, Type: vehicle, Position (x, y, z): (2075.0656048431033, 2128.3745244091224, 0), Speed: 5.759368819115691, Angle: 160.73942554682418, Acceleration: 1.752392169367516
Node ID: vehicle_5, Type: vehicle, Position (x, y, z): (694.534222800824, 1292.1164805680241, 0), Speed: 4.073149999999999, Angle: 191.22913613214374, Acceleration: 2.599999999999998
Node ID: vehicle_6, Type: vehicle, Position (x, y, z): (381.42808465713205, 1183.0330998704176, 0), Speed: 4.521920605358377, Angle: 70.13247071119734, Acceleration: 1.318905384419482
Node ID: vehicle_7, Type: vehicle, Position (x, y, z): (1066.3879898617415, 2082.794020276517, 0), Speed: 4.449915378546932, Angle: 153.43494882292202, Acceleration: 2.4870443467283643
Node ID: vehicle_8, Type: vehicle, Position (x, y, z): (1760.2807107359026, 1494.022342366245, 0), Speed: 2.117235895964938, Angle: 355.36036677096496, Acceleration: 2.439533260745783
Node ID: vehicle_9, Type: vehicle, Position (x, y, z): (973.7859620860264, 2045.8922732872713, 0), Speed: 1.9897605128157194, Angle: 247.48843622528196, Acceleration: 2.383827152539071
Node ID: vehicle_10, Type: vehicle, Position (x, y, z): (254.58473942054832, 2173.065370819198, 0), Speed: 0.7603226538161656, Angle: 155.65628266020585, Acceleration: 2.587962718980479
Node ID: UAV_0, Type: uav, Position (x, y, z): (590.9657057143334, 1212.509781774116, 162.6583112092713), Speed: 29.31510408195613, Angle: 4.483272153730825, Acceleration: -188.40739341779425
Node ID: UAV_1, Type: uav, Position (x, y, z): (2667.7475291265478, 388.1291963822062, 167.01155820883756), Speed: 13.568546180057318, Angle: 4.97013451337111, Acceleration: 56.280094977503126
Node ID: UAV_2, Type: uav, Position (x, y, z): (259.18121348126783, 234.35091209580705, 146.8264603458183), Speed: 27.028697378163105, Angle: 5.626327734202799, Acceleration: -108.09227129991882
Node ID: UAV_3, Type: uav, Position (x, y, z): (283.23007578953985, 404.10410864876553, 187.2322173649428), Speed: 24.285051229509907, Angle: 1.6210579807345273, Acceleration: -19.290242710859644
Node ID: UAV_4, Type: uav, Position (x, y, z): (741.0614164159431, 1297.3111186296674, 109.44228265530663), Speed: 25.01024476174837, Angle: 3.058008484575259, Acceleration: -62.284968016946216
Node ID: UAV_5, Type: uav, Position (x, y, z): (207.73087318222656, 2108.103271492017, 103.21485363232239), Speed: 18.901541534508006, Angle: 2.603446154213779, Acceleration: -28.054906947519314
Node ID: UAV_6, Type: uav, Position (x, y, z): (2150.384084380095, 51.15850687166332, 175.78262176252798), Speed: 10.819705153456331, Angle: 5.704440124790902, Acceleration: 137.55643062537175
Node ID: UAV_7, Type: uav, Position (x, y, z): (2160.295398243379, 1191.7983876709584, 133.6328781011246), Speed: 19.139424949056313, Angle: 0.6701036443115226, Acceleration: 91.94520403499428
Node ID: UAV_8, Type: uav, Position (x, y, z): (886.2382911013148, 1495.3944279954665, 108.90965521663139), Speed: 23.640481523160034, Angle: 3.724176898800703, Acceleration: -39.59791677450745
Node ID: UAV_9, Type: uav, Position (x, y, z): (42.91715727929815, 1062.326859613468, 161.5345633634378), Speed: 27.65512636998954, Angle: 0.1885601258034244, Acceleration: -119.82277946331567
Node ID: RSU_0, Type: rsu, Position (x, y, z): (100, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_1, Type: rsu, Position (x, y, z): (100, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_2, Type: rsu, Position (x, y, z): (2500, 100, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: RSU_3, Type: rsu, Position (x, y, z): (2500, 2000, 0), Speed: 0, Angle: 0, Acceleration: 0
Node ID: cloudServer_4, Type: cloud_server, Position (x, y, z): (0, 0, 0), Speed: 0, Angle: 0, Acceleration: 0
--------------------------------------------------
Update Call #1860:
Node ID: vehicle_0, Type: vehicle, Position (x, y, z): (2047.4293120607606, 1564.3634967548123, 0), Speed: 11.304306433858128, Angle: 256.0346707709554, Acceleration: 2.3122162251267575
Node ID: vehicle_1, Type: vehicle, Position (x, y, z): (1738.549963773164, 2033.3301532224546, 0), Speed: 9.820333054795006, Angle: 71.32836833725844, Acceleration: 1.5678849831223474
Node ID: vehicle_2, Type: vehicle, Position (x, y, z): (953.1285993742491, 2037.3308285688388, 0), Speed: 8.306173767868213, Angle: 247.48843622528196, Acceleration: -0.3313880285946702
Node ID: vehicle_3, Type: vehicle, Position (x, y, z): (1323.3416535667584, 783.2664722767654, 0), Speed: 8.22146072302112, Angle: 182.47977529029333, Acceleration: 1.834109285473815
Node ID: vehicle_4, Type: vehicle, Position (x, y, z): (2077.3435006023547, 2121.855498386652, 0), Speed: 7.853507157979538, Angle: 160.73942554682912, Acceleration: 2.159240809851326
Node ID: vehicle_5, Type: vehicle, Position (x, y, z): (699.7379450349391, 1291.454209486976, 0), Speed: 6.131932358618916, Angle: 95.72734045727361, Acceleration: 2.0955939318286276
Node ID: vehicle_6, Type: vehicle, Position (x, y, z): (386.66653404110247, 1184.926035000332, 0), Speed: 6.37763848904817, Angle: 70.13247071119734, Acceleration: 1.410602273349646
Node ID: vehicle_7, Type: vehicle, Position (x, y, z): (1068.8682196065533, 2077.8335607868935, 0), Speed: 6.546907666674007, Angle: 153.43494882292202, Acceleration: 2.37400528367143
Node ID: vehicle_8, Type: vehicle, Position (x, y, z): (1756.8357906272327, 1496.9020372821674, 0), Speed: 3.959907495076062, Angle: 355.35963014637105, Acceleration: 1.392906756536103
Node ID: vehicle_9, Type: vehicle, Position (x, y, z): (971.028450040013, 2044.749422320681, 0), Speed: 3.886299935278882, Angle: 247.48843622528196, Acceleration: 2.4501295326044747
Node ID: vehicle_10, Type: vehicle, Position (x, y, z): (255.35393291245444, 2171.3652559729853, 0), Speed: 2.7064611631596356, Angle: 155.6562826602034, Acceleration: 1.754445131076503
Node ID: vehicle_11, Type: vehicle, Position (x, y, z): (858.6428839344742, 2010.9546593237453, 0), Speed: 2.039113818754632, Angle: 339.22321718346893, Acceleration: 1.7179505585718413
Node ID: vehicle_12, Type: vehicle, Position (x, y, z): (580.0229088504267, 1225.012124249026, 0), Speed: 0.5096110812527614, Angle: 151.71222581316897, Acceleration: 2.5846982034524184
Node ID: UAV_0, Type: uav, Position (x, y, z): (590.3118273809881, 1212.5085635909293, 162.6583112092713), Speed: 14.755213455909246, Angle: 3.965464224157743, Acceleration: 111.56362891515019
Node ID: UAV_1, Type: uav, Position (x, y, z): (2675.162172396419, 382.5353673996511, 167.01155820883756), Speed: 19.875945751078945, Angle: 5.345136424454361, Acceleration: -32.199064530261765
Node ID: UAV_2, Type: uav, Position (x, y, z): (261.3944696764833, 234.75832749434173, 146.8264603458183), Speed: 29.18923180013448, Angle: 3.6008208794578156, Acceleration: -112.27743060814753
